[05-Mar-2024 09:20:11 UTC] PHP Fatal error:  Cannot redeclare data_stores_block_init() (previously declared in /Users/rohitmathur/Local Sites/gutenberg-practice/app/public/wp-content/plugins/data-stores-block/data-stores-block.php:28) in /Users/rohitmathur/Local Sites/gutenberg-practice/app/public/wp-content/plugins/my-blocks-todo-list/my-blocks-todo-list.php on line 28
[05-Mar-2024 09:20:39 UTC] PHP Notice:  Function WP_Block_Type_Registry::register was called incorrectly. Block type "my-blocks/data-stores" is already registered. Please see <a>Debugging in WordPress</a> for more information. (This message was added in version 5.0.0.) in /Users/rohitmathur/Local Sites/gutenberg-practice/app/public/wp-includes/functions.php on line 6031
[05-Mar-2024 09:21:39 UTC] PHP Notice:  Function WP_Block_Type_Registry::register was called incorrectly. Block type "my-blocks/data-stores" is already registered. Please see <a>Debugging in WordPress</a> for more information. (This message was added in version 5.0.0.) in /Users/rohitmathur/Local Sites/gutenberg-practice/app/public/wp-includes/functions.php on line 6031
[05-Mar-2024 09:21:47 UTC] PHP Notice:  Function WP_Block_Type_Registry::register was called incorrectly. Block type "my-blocks/data-stores" is already registered. Please see <a>Debugging in WordPress</a> for more information. (This message was added in version 5.0.0.) in /Users/rohitmathur/Local Sites/gutenberg-practice/app/public/wp-includes/functions.php on line 6031
[05-Mar-2024 09:21:47 UTC] PHP Notice:  Function WP_Block_Type_Registry::register was called incorrectly. Block type "my-blocks/data-stores" is already registered. Please see <a>Debugging in WordPress</a> for more information. (This message was added in version 5.0.0.) in /Users/rohitmathur/Local Sites/gutenberg-practice/app/public/wp-includes/functions.php on line 6031
[05-Mar-2024 09:21:49 UTC] PHP Notice:  Function WP_Block_Type_Registry::register was called incorrectly. Block type "my-blocks/data-stores" is already registered. Please see <a>Debugging in WordPress</a> for more information. (This message was added in version 5.0.0.) in /Users/rohitmathur/Local Sites/gutenberg-practice/app/public/wp-includes/functions.php on line 6031
[05-Mar-2024 09:21:52 UTC] PHP Notice:  Function WP_Block_Type_Registry::register was called incorrectly. Block type "my-blocks/data-stores" is already registered. Please see <a>Debugging in WordPress</a> for more information. (This message was added in version 5.0.0.) in /Users/rohitmathur/Local Sites/gutenberg-practice/app/public/wp-includes/functions.php on line 6031
[05-Mar-2024 09:22:52 UTC] PHP Notice:  Function WP_Block_Type_Registry::register was called incorrectly. Block type "my-blocks/data-stores" is already registered. Please see <a>Debugging in WordPress</a> for more information. (This message was added in version 5.0.0.) in /Users/rohitmathur/Local Sites/gutenberg-practice/app/public/wp-includes/functions.php on line 6031
[05-Mar-2024 09:23:14 UTC] PHP Notice:  Function WP_Block_Type_Registry::register was called incorrectly. Block type "my-blocks/data-stores" is already registered. Please see <a>Debugging in WordPress</a> for more information. (This message was added in version 5.0.0.) in /Users/rohitmathur/Local Sites/gutenberg-practice/app/public/wp-includes/functions.php on line 6031
[05-Mar-2024 09:26:15 UTC] PHP Notice:  Function WP_Block_Type_Registry::register was called incorrectly. Block type "create-block/boilerplate" is already registered. Please see <a>Debugging in WordPress</a> for more information. (This message was added in version 5.0.0.) in /Users/rohitmathur/Local Sites/gutenberg-practice/app/public/wp-includes/functions.php on line 6031
[05-Mar-2024 09:26:33 UTC] PHP Notice:  Function WP_Block_Type_Registry::register was called incorrectly. Block type "create-block/boilerplate" is already registered. Please see <a>Debugging in WordPress</a> for more information. (This message was added in version 5.0.0.) in /Users/rohitmathur/Local Sites/gutenberg-practice/app/public/wp-includes/functions.php on line 6031
[05-Mar-2024 09:26:33 UTC] PHP Notice:  Function WP_Block_Type_Registry::register was called incorrectly. Block type "create-block/boilerplate" is already registered. Please see <a>Debugging in WordPress</a> for more information. (This message was added in version 5.0.0.) in /Users/rohitmathur/Local Sites/gutenberg-practice/app/public/wp-includes/functions.php on line 6031
[05-Mar-2024 09:26:35 UTC] PHP Notice:  Function WP_Block_Type_Registry::register was called incorrectly. Block type "create-block/boilerplate" is already registered. Please see <a>Debugging in WordPress</a> for more information. (This message was added in version 5.0.0.) in /Users/rohitmathur/Local Sites/gutenberg-practice/app/public/wp-includes/functions.php on line 6031
[05-Mar-2024 09:26:35 UTC] PHP Notice:  Function WP_Block_Type_Registry::register was called incorrectly. Block type "create-block/boilerplate" is already registered. Please see <a>Debugging in WordPress</a> for more information. (This message was added in version 5.0.0.) in /Users/rohitmathur/Local Sites/gutenberg-practice/app/public/wp-includes/functions.php on line 6031
[05-Mar-2024 09:26:37 UTC] PHP Notice:  Function WP_Block_Type_Registry::register was called incorrectly. Block type "create-block/boilerplate" is already registered. Please see <a>Debugging in WordPress</a> for more information. (This message was added in version 5.0.0.) in /Users/rohitmathur/Local Sites/gutenberg-practice/app/public/wp-includes/functions.php on line 6031
[05-Mar-2024 09:26:43 UTC] PHP Notice:  Function WP_Block_Type_Registry::register was called incorrectly. Block type "create-block/boilerplate" is already registered. Please see <a>Debugging in WordPress</a> for more information. (This message was added in version 5.0.0.) in /Users/rohitmathur/Local Sites/gutenberg-practice/app/public/wp-includes/functions.php on line 6031
[05-Mar-2024 09:26:46 UTC] PHP Notice:  Function WP_Block_Type_Registry::register was called incorrectly. Block type "create-block/boilerplate" is already registered. Please see <a>Debugging in WordPress</a> for more information. (This message was added in version 5.0.0.) in /Users/rohitmathur/Local Sites/gutenberg-practice/app/public/wp-includes/functions.php on line 6031
[05-Mar-2024 09:26:46 UTC] PHP Notice:  Function WP_Block_Type_Registry::register was called incorrectly. Block type "create-block/boilerplate" is already registered. Please see <a>Debugging in WordPress</a> for more information. (This message was added in version 5.0.0.) in /Users/rohitmathur/Local Sites/gutenberg-practice/app/public/wp-includes/functions.php on line 6031
[05-Mar-2024 09:27:25 UTC] PHP Warning:  mysqli_real_connect(): (HY000/2002): No such file or directory in /Users/rohitmathur/Local Sites/gutenberg-practice/app/public/wp-includes/class-wpdb.php on line 1987
[05-Mar-2024 09:27:25 UTC] PHP Warning:  mysqli_real_connect(): (HY000/2002): No such file or directory in /Users/rohitmathur/Local Sites/gutenberg-practice/app/public/wp-includes/class-wpdb.php on line 1987
[05-Mar-2024 09:27:27 UTC] PHP Notice:  Function WP_Block_Type_Registry::register was called incorrectly. Block type "create-block/boilerplate" is already registered. Please see <a>Debugging in WordPress</a> for more information. (This message was added in version 5.0.0.) in /Users/rohitmathur/Local Sites/gutenberg-practice/app/public/wp-includes/functions.php on line 6031
[05-Mar-2024 09:27:29 UTC] PHP Notice:  Function WP_Block_Type_Registry::register was called incorrectly. Block type "create-block/boilerplate" is already registered. Please see <a>Debugging in WordPress</a> for more information. (This message was added in version 5.0.0.) in /Users/rohitmathur/Local Sites/gutenberg-practice/app/public/wp-includes/functions.php on line 6031
[05-Mar-2024 09:27:31 UTC] PHP Notice:  Function WP_Block_Type_Registry::register was called incorrectly. Block type "create-block/boilerplate" is already registered. Please see <a>Debugging in WordPress</a> for more information. (This message was added in version 5.0.0.) in /Users/rohitmathur/Local Sites/gutenberg-practice/app/public/wp-includes/functions.php on line 6031
[05-Mar-2024 09:27:33 UTC] PHP Notice:  Function WP_Block_Type_Registry::register was called incorrectly. Block type "create-block/boilerplate" is already registered. Please see <a>Debugging in WordPress</a> for more information. (This message was added in version 5.0.0.) in /Users/rohitmathur/Local Sites/gutenberg-practice/app/public/wp-includes/functions.php on line 6031
